"Serviço";"Plano";"Preço de lista";"Moeda";"Tipo de pagamento";"1º ano (R$)";"2º ano+ (R$)";"Mensal 1º ano (R$)";"Mensal 2º ano+ (R$)";"Observação"
"Render — API";"Hobby + Web Service Starter";"7,00";"USD";"Mensal";"434,79";"434,79";"36,23";"36,23";"Starter sempre ligado"
"Vercel — site";"Hobby";"0,00";"USD";"Gratuito";"0,00";"0,00";"0,00";"0,00";"Hobby gratuito"
"Neon — banco";"Launch (0,25 CU always-on + 1 GB)";"19,70";"USD";"Mensal (uso)";"1223,32";"1223,32";"101,94";"101,94";"Piso pago: 0,25 CU x 730 h x US$ 0,106 + 1 GB x US$ 0,35"
"Hostinger — domínio .org";"Registro .org";"44,99 no 1º ano; 88,99 renovação + ICANN 1,09";"BRL";"Anual";"46,08";"88,99";"3,84";"7,42";"Inclui taxa ICANN no 1º ano"
"Hostinger — domínio Pedix";"Registro .com.br (premissa)";"1,00 no 1º ano; 64,99 renovação";"BRL";"Anual";"1,00";"64,99";"0,08";"5,42";"Premissa TLD .com.br"
"Hostinger — 2 e-mails Pedix";"Mail Starter x 2";"2,49 por caixa/mês (promo 48 meses)";"BRL";"Antecipado (48 meses)";"59,76";"59,76";"4,98";"4,98";"Equivalente de 12 meses da promo"
"Apple App Store";"Apple Developer Program";"99,00";"USD";"Anual";"512,43";"512,43";"42,70";"42,70";"Taxa de conta; sem comissão (app gratuito)"
"Google Play Store";"Play Console";"25,00";"USD";"Único (não recorre)";"129,40";"0,00";"10,78";"0,00";"Pagamento único"
"TOTAL";"";"";"";"";"2406,79";"2384,29";"200,57";"198,69";"Câmbio USD/BRL 5,1761 em 19/08/2026"
